lvl,category,be=ru,be+ru,be,ru+be,ru,other both,other be,other ru,no lang,be=ru%,be+ru%,be%,ru+be%,ru%,other both%,other be%,other ru%,no lang%
,place = locality,1223,17,3,10636,44,3,0,0,0,0.103,0.001,0.000,0.892,0.004,0.000,0.000,0.000,0.000
,abandoned:place = *,261,4,0,2772,0,0,0,0,0,0.086,0.001,0.000,0.913,0.000,0.000,0.000,0.000,0.000
#,suburb,867,168,73,9629,41,43,2,1,191,0.079,0.015,0.007,0.874,0.004,0.004,0.000,0.000,0.017
,landuse = cemetery,10,69,27,1181,4,7,0,0,16,0.008,0.053,0.021,0.899,0.003,0.005,0.000,0.000,0.012
,landuse = commercial,7,3,0,162,0,1,0,0,5,0.039,0.017,0.000,0.910,0.000,0.006,0.000,0.000,0.028
,landuse = construction,2,1,0,143,2,5,1,0,10,0.012,0.006,0.000,0.872,0.012,0.030,0.006,0.000,0.061
,landuse = farmland,8,0,2,45,0,1,0,0,3,0.136,0.000,0.034,0.763,0.000,0.017,0.000,0.000,0.051
,landuse = farmyard,187,2,1,325,1,1,0,0,12,0.353,0.004,0.002,0.614,0.002,0.002,0.000,0.000,0.023
,landuse = industrial,311,12,15,4057,15,12,0,1,103,0.069,0.003,0.003,0.896,0.003,0.003,0.000,0.000,0.023
,landuse = residential,86,44,7,668,10,2,0,0,10,0.104,0.053,0.008,0.808,0.012,0.002,0.000,0.000,0.012
,landuse = retail,6,4,1,221,0,0,0,0,0,0.026,0.017,0.004,0.953,0.000,0.000,0.000,0.000,0.000
,place = *,176,24,13,1895,4,3,1,0,14,0.083,0.011,0.006,0.890,0.002,0.001,0.000,0.000,0.007
,residential = *,71,43,6,537,6,2,0,0,5,0.106,0.064,0.009,0.801,0.009,0.003,0.000,0.000,0.007
,industrial = *,29,1,3,446,1,3,0,0,24,0.057,0.002,0.006,0.880,0.002,0.006,0.000,0.000,0.047
,landuse = *,85,12,7,955,5,10,0,0,20,0.078,0.011,0.006,0.873,0.005,0.009,0.000,0.000,0.018
#,natural,284,55,70,2178,47,22,5,3,38,0.105,0.020,0.026,0.806,0.017,0.008,0.002,0.001,0.014
,place = island,1,3,0,5,0,0,0,0,0,0.111,0.333,0.000,0.556,0.000,0.000,0.000,0.000,0.000
,place = islet,3,2,0,85,4,2,0,0,1,0.031,0.021,0.000,0.876,0.041,0.021,0.000,0.000,0.010
,landuse = forest,30,1,11,190,0,2,0,0,4,0.126,0.004,0.046,0.798,0.000,0.008,0.000,0.000,0.017
,boundary = *,63,2,2,730,3,13,5,3,4,0.076,0.002,0.002,0.885,0.004,0.016,0.006,0.004,0.005
,natural = *,188,47,57,1187,37,4,0,0,28,0.121,0.030,0.037,0.767,0.024,0.003,0.000,0.000,0.018
,ele = *,50,4,1,242,11,3,0,0,2,0.160,0.013,0.003,0.773,0.035,0.010,0.000,0.000,0.006
#,water,4437,212,40,19238,154,126,0,2,165,0.182,0.009,0.002,0.789,0.006,0.005,0.000,0.000,0.007
,waterway = drain,75,3,4,385,9,0,0,0,23,0.150,0.006,0.008,0.772,0.018,0.000,0.000,0.000,0.046
,waterway = ditch,76,0,30,545,0,4,0,0,0,0.116,0.000,0.046,0.832,0.000,0.006,0.000,0.000,0.000
,waterway = stream,1378,65,0,4919,78,9,0,1,25,0.213,0.010,0.000,0.760,0.012,0.001,0.000,0.000,0.004
,waterway = river,2772,112,1,9108,8,79,0,0,18,0.229,0.009,0.000,0.753,0.001,0.007,0.000,0.000,0.001
,waterway = canal,27,1,0,745,5,2,0,0,68,0.032,0.001,0.000,0.879,0.006,0.002,0.000,0.000,0.080
,type = waterway,436,11,0,1571,7,59,0,0,3,0.209,0.005,0.000,0.753,0.003,0.028,0.000,0.000,0.001
,natural = water,48,10,1,2942,33,26,0,0,18,0.016,0.003,0.000,0.956,0.011,0.008,0.000,0.000,0.006
,natural = spring,55,11,4,502,17,3,0,0,8,0.092,0.018,0.007,0.837,0.028,0.005,0.000,0.000,0.013
,tunnel = *,1191,64,18,4782,35,7,0,0,44,0.194,0.010,0.003,0.779,0.006,0.001,0.000,0.000,0.007
,waterway = *,4,4,0,28,1,0,0,1,1,0.103,0.103,0.000,0.718,0.026,0.000,0.000,0.026,0.026
,water = *,36,7,1,2857,30,26,0,0,15,0.012,0.002,0.000,0.961,0.010,0.009,0.000,0.000,0.005
#,highway,164,157,8,96260,337,165,14,0,251,0.002,0.002,0.000,0.989,0.003,0.002,0.000,0.000,0.003
,highway = motorway,76,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,highway = trunk,35,0,0,1254,0,6,0,0,18,0.027,0.000,0.000,0.955,0.000,0.005,0.000,0.000,0.014
,highway = primary,7,6,0,7824,3,12,0,0,21,0.001,0.001,0.000,0.994,0.000,0.002,0.000,0.000,0.003
,highway = secondary,0,11,0,7437,3,0,0,0,1,0.000,0.001,0.000,0.998,0.000,0.000,0.000,0.000,0.000
,highway = tertiary,4,4,4,11015,40,0,0,0,19,0.000,0.000,0.000,0.994,0.004,0.000,0.000,0.000,0.002
,highway = unclassified,2,1,0,3089,0,13,4,0,51,0.001,0.000,0.000,0.978,0.000,0.004,0.001,0.000,0.016
,highway = residential,5,33,0,57791,255,1,9,0,63,0.000,0.001,0.000,0.994,0.004,0.000,0.000,0.000,0.001
,highway = service,0,0,1,3295,20,14,0,0,21,0.000,0.000,0.000,0.983,0.006,0.004,0.000,0.000,0.006
,highway = track,4,1,0,608,0,118,0,0,4,0.005,0.001,0.000,0.827,0.000,0.161,0.000,0.000,0.005
,type = associatedStreet,0,0,0,1821,0,0,0,0,0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
,type = street,0,0,0,36,0,0,0,0,0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
,highway = *,30,99,0,1809,13,0,1,0,53,0.015,0.049,0.000,0.902,0.006,0.000,0.000,0.000,0.026
,bridge = *,19,5,3,1305,3,9,0,0,3,0.014,0.004,0.002,0.969,0.002,0.007,0.000,0.000,0.002
#,public_transport,2573,13834,213,21793,1155,35,1,0,14,0.065,0.349,0.005,0.550,0.029,0.001,0.000,0.000,0.000
,highway = bus_stop,1622,7661,119,8453,0,3,0,0,0,0.091,0.429,0.007,0.473,0.000,0.000,0.000,0.000,0.000
,type = route,51,57,7,8415,1155,28,1,0,3,0.005,0.006,0.001,0.866,0.119,0.003,0.000,0.000,0.000
,type = route_master,0,0,0,17,0,0,0,0,0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
,public_transport = *,2062,12742,168,9721,0,3,0,0,6,0.083,0.516,0.007,0.394,0.000,0.000,0.000,0.000,0.000
,route = *,55,59,7,8443,1154,29,1,0,5,0.006,0.006,0.001,0.866,0.118,0.003,0.000,0.000,0.001
,railway = *,190,560,11,2114,0,1,0,0,5,0.066,0.194,0.004,0.734,0.000,0.000,0.000,0.000,0.002
,route_master = *,0,0,0,19,0,0,0,0,0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
#,infrastructure,1343,293,76,5836,3498,64,69,17,452,0.115,0.025,0.007,0.501,0.300,0.005,0.006,0.001,0.039
,amenity = fuel,207,4,0,917,1,1,0,0,10,0.182,0.004,0.000,0.804,0.001,0.001,0.000,0.000,0.009
,barrier = *,297,239,20,3077,775,39,3,2,56,0.066,0.053,0.004,0.683,0.172,0.009,0.001,0.000,0.012
,power = *,853,2,51,1756,2118,15,66,14,197,0.168,0.000,0.010,0.346,0.418,0.003,0.013,0.003,0.039
,substation = *,640,0,8,953,950,3,4,9,63,0.243,0.000,0.003,0.362,0.361,0.001,0.002,0.003,0.024
,man_made = *,69,23,5,838,711,8,0,2,189,0.037,0.012,0.003,0.454,0.385,0.004,0.000,0.001,0.102
,embankment = *,2,25,0,177,0,2,0,0,0,0.010,0.121,0.000,0.859,0.000,0.010,0.000,0.000,0.000
#,religion,45,152,70,2708,826,22,5,10,71,0.012,0.039,0.018,0.693,0.211,0.006,0.001,0.003,0.018
,amenity = place_of_worship,41,74,33,1726,795,17,1,7,25,0.015,0.027,0.012,0.635,0.292,0.006,0.000,0.003,0.009
,amenity = monastery,0,0,0,19,1,0,1,0,2,0.000,0.000,0.000,0.826,0.043,0.000,0.043,0.000,0.087
,building = church,0,26,18,984,390,11,4,2,12,0.000,0.018,0.012,0.680,0.270,0.008,0.003,0.001,0.008
,building = cathedral,0,0,0,22,3,0,0,0,0,0.000,0.000,0.000,0.880,0.120,0.000,0.000,0.000,0.000
,building = chapel,20,7,2,177,57,0,0,0,7,0.074,0.026,0.007,0.656,0.211,0.000,0.000,0.000,0.026
,religion = *,44,143,62,2639,774,22,1,7,51,0.012,0.038,0.017,0.705,0.207,0.006,0.000,0.002,0.014
#,education,372,124,42,2781,1420,56,66,22,881,0.065,0.022,0.007,0.482,0.246,0.010,0.011,0.004,0.153
,landuse = education,4,7,1,775,14,3,0,0,2,0.005,0.009,0.001,0.962,0.017,0.004,0.000,0.000,0.002
,amenity = university,0,6,3,108,10,3,22,1,48,0.000,0.030,0.015,0.537,0.050,0.015,0.109,0.005,0.239
,amenity = college,1,6,1,137,30,7,12,2,135,0.003,0.018,0.003,0.414,0.091,0.021,0.036,0.006,0.408
,amenity = school,298,41,23,839,755,13,1,9,40,0.148,0.020,0.011,0.416,0.374,0.006,0.000,0.004,0.020
,amenity = kindergarten,21,58,10,1258,503,21,0,3,31,0.011,0.030,0.005,0.660,0.264,0.011,0.000,0.002,0.016
,building = university,3,0,2,42,8,1,18,1,90,0.018,0.000,0.012,0.255,0.048,0.006,0.109,0.006,0.545
,building = college,3,1,0,42,7,3,6,0,55,0.026,0.009,0.000,0.359,0.060,0.026,0.051,0.000,0.470
,building = school,50,9,1,172,99,4,9,5,341,0.072,0.013,0.001,0.249,0.143,0.006,0.013,0.007,0.494
,building = kindergarten,0,3,2,206,51,4,2,1,150,0.000,0.007,0.005,0.492,0.122,0.010,0.005,0.002,0.358
#,healthcare,286,69,29,3927,1660,61,56,24,650,0.042,0.010,0.004,0.581,0.245,0.009,0.008,0.004,0.096
,amenity = hospital,31,6,5,270,181,13,17,3,131,0.047,0.009,0.008,0.411,0.275,0.020,0.026,0.005,0.199
,amenity = pharmacy,101,45,11,2319,24,25,0,1,42,0.039,0.018,0.004,0.903,0.009,0.010,0.000,0.000,0.016
,amenity = clinic,65,6,7,334,189,14,15,8,122,0.086,0.008,0.009,0.439,0.249,0.018,0.020,0.011,0.161
,amenity = doctors,70,1,0,651,101,0,10,3,91,0.076,0.001,0.000,0.702,0.109,0.000,0.011,0.003,0.098
,amenity = dentist,1,6,1,97,149,5,5,7,109,0.003,0.016,0.003,0.255,0.392,0.013,0.013,0.018,0.287
,building = hospital,15,3,4,169,52,3,10,0,157,0.036,0.007,0.010,0.409,0.126,0.007,0.024,0.000,0.380
,building = clinic,0,1,0,16,7,1,0,0,6,0.000,0.032,0.000,0.516,0.226,0.032,0.000,0.000,0.194
,emergency = *,3,0,3,172,974,11,0,3,6,0.003,0.000,0.003,0.147,0.831,0.009,0.000,0.003,0.005
,healthcare = *,129,47,15,2151,555,35,2,15,59,0.043,0.016,0.005,0.715,0.185,0.012,0.001,0.005,0.020
#,government,127,242,29,2028,1870,60,89,33,687,0.025,0.047,0.006,0.393,0.362,0.012,0.017,0.006,0.133
,amenity = post_office,15,224,6,692,29,15,22,2,188,0.013,0.188,0.005,0.580,0.024,0.013,0.018,0.002,0.158
,amenity = police,3,2,3,279,129,11,36,10,242,0.004,0.003,0.004,0.390,0.180,0.015,0.050,0.014,0.338
,amenity = library,4,5,5,212,44,4,31,2,200,0.008,0.010,0.010,0.418,0.087,0.008,0.061,0.004,0.394
,office = government,60,9,13,560,1183,26,0,18,31,0.032,0.005,0.007,0.295,0.623,0.014,0.000,0.009,0.016
,landuse = military,22,1,1,121,213,2,0,0,10,0.059,0.003,0.003,0.327,0.576,0.005,0.000,0.000,0.027
,government = *,42,6,6,294,370,17,0,3,20,0.055,0.008,0.008,0.388,0.488,0.022,0.000,0.004,0.026
,military = *,31,3,1,218,337,2,0,1,17,0.051,0.005,0.002,0.357,0.552,0.003,0.000,0.002,0.028
#,bank,2182,33,5,1362,0,1,0,1,5,0.608,0.009,0.001,0.379,0.000,0.000,0.000,0.000,0.001
,amenity = atm,931,14,2,575,0,0,0,0,0,0.612,0.009,0.001,0.378,0.000,0.000,0.000,0.000,0.000
,amenity = bank,1251,19,3,787,0,1,0,1,5,0.605,0.009,0.001,0.381,0.000,0.000,0.000,0.000,0.002
#,office,332,20,25,1358,3315,33,8,60,259,0.061,0.004,0.005,0.251,0.613,0.006,0.001,0.011,0.048
,office = *,332,20,25,1358,3315,33,8,60,259,0.061,0.004,0.005,0.251,0.613,0.006,0.001,0.011,0.048
#,tourism,464,417,361,6718,6022,773,23,106,1127,0.029,0.026,0.023,0.420,0.376,0.048,0.001,0.007,0.070
,tourism = *,338,303,187,4559,3449,730,19,77,600,0.033,0.030,0.018,0.444,0.336,0.071,0.002,0.008,0.058
,historic = *,130,155,182,2554,2693,53,3,30,537,0.021,0.024,0.029,0.403,0.425,0.008,0.000,0.005,0.085
,memorial = *,33,47,52,709,1258,18,1,12,415,0.013,0.018,0.020,0.279,0.494,0.007,0.000,0.005,0.163
,ruins = *,5,22,0,96,148,2,0,0,0,0.018,0.081,0.000,0.352,0.542,0.007,0.000,0.000,0.000
,information = *,9,32,19,145,173,630,1,0,61,0.008,0.030,0.018,0.136,0.162,0.589,0.001,0.000,0.057
,attraction = *,15,5,7,56,86,3,1,0,3,0.085,0.028,0.040,0.318,0.489,0.017,0.006,0.000,0.017
,resort = *,3,0,0,88,54,2,0,2,2,0.020,0.000,0.000,0.583,0.358,0.013,0.000,0.013,0.013
,artwork_type = *,51,38,33,233,354,27,4,28,169,0.054,0.041,0.035,0.249,0.378,0.029,0.004,0.030,0.180
#,amenity,3549,793,212,16198,5365,925,1032,428,16121,0.080,0.018,0.005,0.363,0.120,0.021,0.023,0.010,0.361
,amenity = cafe,163,25,19,781,335,33,88,42,1029,0.065,0.010,0.008,0.311,0.133,0.013,0.035,0.017,0.409
,amenity = fast_food,49,1,12,273,108,14,35,7,306,0.061,0.001,0.015,0.339,0.134,0.017,0.043,0.009,0.380
,amenity = community_centre,261,13,2,170,62,1,21,8,221,0.344,0.017,0.003,0.224,0.082,0.001,0.028,0.011,0.291
,amenity = restaurant,46,19,3,201,65,6,26,13,229,0.076,0.031,0.005,0.331,0.107,0.010,0.043,0.021,0.377
,amenity = bar,34,8,2,93,81,5,22,6,230,0.071,0.017,0.004,0.193,0.168,0.010,0.046,0.012,0.478
,shop = convenience,878,125,43,3675,598,467,86,68,1590,0.117,0.017,0.006,0.488,0.079,0.062,0.011,0.009,0.211
,shop = clothes,61,29,4,216,186,9,15,16,606,0.053,0.025,0.004,0.189,0.163,0.008,0.013,0.014,0.531
,shop = car_repair,14,3,0,251,131,14,28,23,692,0.012,0.003,0.000,0.217,0.113,0.012,0.024,0.020,0.599
,shop = hairdresser,34,13,6,334,182,6,28,3,494,0.031,0.012,0.005,0.304,0.165,0.005,0.025,0.003,0.449
,shop = chemist,2,0,1,1305,13,22,10,4,51,0.001,0.000,0.001,0.927,0.009,0.016,0.007,0.003,0.036
,shop = supermarket,318,15,2,450,61,148,4,7,169,0.271,0.013,0.002,0.383,0.052,0.126,0.003,0.006,0.144
,shop = car_parts,0,1,2,288,153,6,40,9,454,0.000,0.001,0.002,0.302,0.161,0.006,0.042,0.009,0.476
,shop = furniture,21,2,2,247,101,12,11,27,328,0.028,0.003,0.003,0.329,0.134,0.016,0.015,0.036,0.437
,shop = hardware,24,15,4,218,134,8,16,8,311,0.033,0.020,0.005,0.295,0.182,0.011,0.022,0.011,0.421
,shop = kiosk,30,35,3,180,20,7,14,0,109,0.075,0.088,0.008,0.452,0.050,0.018,0.035,0.000,0.274
,shop = doityourself,29,12,3,189,113,4,10,8,384,0.039,0.016,0.004,0.251,0.150,0.005,0.013,0.011,0.511
,shop = pet,5,2,2,119,65,2,9,4,283,0.010,0.004,0.004,0.242,0.132,0.004,0.018,0.008,0.576
,shop = florist,18,4,2,180,60,3,13,8,247,0.034,0.007,0.004,0.336,0.112,0.006,0.024,0.015,0.462
,shop = beauty,11,0,2,47,93,2,16,11,311,0.022,0.000,0.004,0.095,0.189,0.004,0.032,0.022,0.631
,shop = mobile_phone,193,7,0,84,105,2,1,2,136,0.364,0.013,0.000,0.158,0.198,0.004,0.002,0.004,0.257
,shop = shoes,19,3,0,79,26,2,6,2,118,0.075,0.012,0.000,0.310,0.102,0.008,0.024,0.008,0.463
,shop = newsagent,165,55,1,262,1,12,0,1,38,0.308,0.103,0.002,0.490,0.002,0.022,0.000,0.002,0.071
,shop = electronics,89,2,1,72,68,1,11,12,190,0.200,0.004,0.002,0.161,0.152,0.002,0.025,0.027,0.426
,shop = alcohol,7,6,1,102,77,5,9,3,247,0.015,0.013,0.002,0.223,0.168,0.011,0.020,0.007,0.540
,shop = jewelry,7,4,1,139,39,16,10,0,126,0.020,0.012,0.003,0.406,0.114,0.047,0.029,0.000,0.368
,shop = mall,22,6,2,137,39,15,15,3,148,0.057,0.016,0.005,0.354,0.101,0.039,0.039,0.008,0.382
,shop = butcher,21,9,4,104,71,6,19,5,170,0.051,0.022,0.010,0.254,0.174,0.015,0.046,0.012,0.416
,shop = cosmetics,2,3,0,85,50,6,12,9,116,0.007,0.011,0.000,0.300,0.177,0.021,0.042,0.032,0.410
,craft = shoemaker,1,2,0,149,17,5,3,0,51,0.004,0.009,0.000,0.654,0.075,0.022,0.013,0.000,0.224
,amenity = *,427,212,31,2430,849,34,142,46,2410,0.065,0.032,0.005,0.369,0.129,0.005,0.022,0.007,0.366
,shop = *,514,116,39,1978,1013,40,231,54,3269,0.071,0.016,0.005,0.273,0.140,0.006,0.032,0.007,0.451
,leisure = *,94,54,19,1397,520,15,84,22,1097,0.028,0.016,0.006,0.423,0.157,0.005,0.025,0.007,0.332
,sport = *,16,19,6,285,64,5,31,3,360,0.020,0.024,0.008,0.361,0.081,0.006,0.039,0.004,0.456
,clothes = *,5,14,0,71,30,2,3,3,101,0.022,0.061,0.000,0.310,0.131,0.009,0.013,0.013,0.441
#,building,3089,608,222,9275,5089,378,485,120,11341,0.101,0.020,0.007,0.303,0.166,0.012,0.016,0.004,0.371
,building = industrial,42,8,5,436,330,6,16,5,815,0.025,0.005,0.003,0.262,0.198,0.004,0.010,0.003,0.490
,building = service,669,2,22,108,346,2,5,1,304,0.459,0.001,0.015,0.074,0.237,0.001,0.003,0.001,0.208
,building = retail,324,39,19,793,186,119,44,18,481,0.160,0.019,0.009,0.392,0.092,0.059,0.022,0.009,0.238
,building = commercial,26,12,3,146,103,9,15,2,289,0.043,0.020,0.005,0.241,0.170,0.015,0.025,0.003,0.478
,building = warehouse,18,1,4,36,28,0,2,0,162,0.072,0.004,0.016,0.143,0.112,0.000,0.008,0.000,0.645
,building = public,27,13,4,168,43,5,8,1,94,0.074,0.036,0.011,0.463,0.118,0.014,0.022,0.003,0.259
,building = dormitory,0,3,2,145,53,2,48,1,370,0.000,0.005,0.003,0.232,0.085,0.003,0.077,0.002,0.593
,building = warehouse,18,1,4,36,28,0,2,0,162,0.072,0.004,0.016,0.143,0.112,0.000,0.008,0.000,0.645
,building = *,1983,530,163,7443,4000,235,347,92,8826,0.084,0.022,0.007,0.315,0.169,0.010,0.015,0.004,0.374
#,other,74,26,10,437,141,9,20,3,873,0.046,0.016,0.006,0.274,0.089,0.006,0.013,0.002,0.548
#,TOTAL,22874,16489,1295,244632,25941,2338,1596,718,29700,0.066,0.048,0.004,0.708,0.075,0.007,0.005,0.002,0.086
