lvl,category,all,all be,all ru,all be%,all ru%,uniq,uniq be,uniq ru,uniq be%,uniq ru%
,amenity = marketplace,23,0,0,0.000,0.000,21,0,0,0.000,0.000
,place = *,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,residential = *,6,0,0,0.000,0.000,5,0,0,0.000,0.000
,landuse = *,121,5,5,0.041,0.041,109,5,5,0.046,0.046
#,natural,471,8,8,0.017,0.017,60,5,5,0.083,0.083
,place = island,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = islet,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,landuse = forest,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,leisure = nature_reserve,24,3,3,0.125,0.125,17,3,3,0.176,0.176
,boundary = *,433,7,7,0.016,0.016,34,4,4,0.118,0.118
,natural = *,13,0,0,0.000,0.000,10,0,0,0.000,0.000
,ele = *,25,1,1,0.040,0.040,16,1,1,0.062,0.062
#,water,77,0,0,0.000,0.000,19,0,0,0.000,0.000
,waterway = drain,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = ditch,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = stream,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = river,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = canal,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = waterway,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = watershed,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,natural = water,16,0,0,0.000,0.000,12,0,0,0.000,0.000
,natural = spring,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,tunnel = *,60,0,0,0.000,0.000,6,0,0,0.000,0.000
,waterway = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,water = *,14,0,0,0.000,0.000,10,0,0,0.000,0.000
#,highway,423,0,0,0.000,0.000,24,0,0,0.000,0.000
,highway = motorway,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = trunk,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = primary,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = secondary,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = tertiary,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,highway = unclassified,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,highway = residential,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = service,4,0,0,0.000,0.000,2,0,0,0.000,0.000
,highway = track,15,0,0,0.000,0.000,3,0,0,0.000,0.000
,type = associatedStreet,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = street,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = *,133,0,0,0.000,0.000,15,0,0,0.000,0.000
,bridge = *,273,0,0,0.000,0.000,8,0,0,0.000,0.000
#,public_transport,13497,1263,1278,0.094,0.095,205,5,5,0.024,0.024
,highway = bus_stop,5146,636,645,0.124,0.125,82,2,3,0.024,0.037
,type = route,63,0,0,0.000,0.000,7,0,0,0.000,0.000
,type = route_master,550,13,10,0.024,0.018,26,3,2,0.115,0.077
,type = disused:route,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = public_transport,727,0,0,0.000,0.000,7,0,0,0.000,0.000
,building = train_station,34,0,0,0.000,0.000,11,0,0,0.000,0.000
,building = transportation,8,0,0,0.000,0.000,6,0,0,0.000,0.000
,amenity = bus_station,58,0,0,0.000,0.000,25,0,0,0.000,0.000
,amenity = ferry_terminal,9,0,0,0.000,0.000,5,0,0,0.000,0.000
,public_transport = *,10073,1244,1264,0.123,0.125,126,2,3,0.016,0.024
,route = *,1367,6,4,0.004,0.003,68,2,1,0.029,0.015
,route_master = *,579,13,10,0.022,0.017,27,3,2,0.111,0.074
,railway = *,1674,0,0,0.000,0.000,34,0,0,0.000,0.000
,aeroway = *,16,0,0,0.000,0.000,14,0,0,0.000,0.000
#,industrial,625,15,23,0.024,0.037,349,11,13,0.032,0.037
,landuse = industrial,391,15,23,0.038,0.059,246,11,13,0.045,0.053
,building = industrial,127,0,0,0.000,0.000,94,0,0,0.000,0.000
,building = warehouse,28,0,0,0.000,0.000,18,0,0,0.000,0.000
,office = construction_company,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,industrial = *,168,2,2,0.012,0.012,91,2,2,0.022,0.022
#,infrastructure,12991,739,772,0.057,0.059,1098,24,27,0.022,0.025
,amenity = fuel,1037,6,7,0.006,0.007,79,4,5,0.051,0.063
,building = service,1219,323,377,0.265,0.309,109,10,11,0.092,0.101
,barrier = *,774,6,17,0.008,0.022,196,5,6,0.026,0.031
,power = *,8421,601,667,0.071,0.079,215,9,9,0.042,0.042
,substation = *,2292,469,524,0.205,0.229,131,12,13,0.092,0.099
,pipeline = *,385,87,89,0.226,0.231,43,4,5,0.093,0.116
,man_made = *,2809,39,2,0.014,0.001,660,2,2,0.003,0.003
,embankment = *,101,0,0,0.000,0.000,4,0,0,0.000,0.000
#,religion,27,1,0,0.037,0.000,21,1,0,0.048,0.000
,amenity = place_of_worship,8,1,0,0.125,0.000,8,1,0,0.125,0.000
,amenity = monastery,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = grave_yard,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = church,4,0,0,0.000,0.000,3,0,0,0.000,0.000
,building = cathedral,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = chapel,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,religion = *,25,1,0,0.040,0.000,20,1,0,0.050,0.000
,cemetery = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,education,369,3,3,0.008,0.008,223,3,3,0.013,0.013
,landuse = education,12,1,1,0.083,0.083,12,1,1,0.083,0.083
,amenity = university,40,0,0,0.000,0.000,19,0,0,0.000,0.000
,amenity = college,24,2,2,0.083,0.083,18,2,2,0.111,0.111
,amenity = school,56,0,0,0.000,0.000,43,0,0,0.000,0.000
,amenity = kindergarten,36,0,0,0.000,0.000,30,0,0,0.000,0.000
,amenity = arts_centre,6,0,0,0.000,0.000,5,0,0,0.000,0.000
,amenity = music_school,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,building = university,24,0,0,0.000,0.000,12,0,0,0.000,0.000
,building = college,15,0,0,0.000,0.000,5,0,0,0.000,0.000
,building = school,13,1,1,0.077,0.077,13,1,1,0.077,0.077
,building = kindergarten,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,building = dormitory,140,0,0,0.000,0.000,101,0,0,0.000,0.000
,office = educational_institution,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,faculty = *,21,0,0,0.000,0.000,4,0,0,0.000,0.000
#,healthcare,3018,66,67,0.022,0.022,697,11,12,0.016,0.017
,amenity = hospital,52,2,2,0.038,0.038,44,2,2,0.045,0.045
,amenity = pharmacy,1682,46,46,0.027,0.027,368,5,5,0.014,0.014
,amenity = clinic,104,1,2,0.010,0.019,76,1,2,0.013,0.026
,amenity = doctors,93,16,16,0.172,0.172,57,4,4,0.070,0.070
,amenity = dentist,55,0,0,0.000,0.000,54,0,0,0.000,0.000
,amenity = veterinary,25,0,0,0.000,0.000,24,0,0,0.000,0.000
,building = hospital,22,0,0,0.000,0.000,14,0,0,0.000,0.000
,building = clinic,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,emergency = *,987,1,1,0.001,0.001,89,1,1,0.011,0.011
,healthcare = *,1954,64,65,0.033,0.033,563,10,11,0.018,0.020
#,government,3475,2593,2617,0.746,0.753,452,23,25,0.051,0.055
,amenity = fire_station,48,5,5,0.104,0.104,25,1,1,0.040,0.040
,amenity = ranger_station,32,6,9,0.188,0.281,26,3,6,0.115,0.231
,amenity = townhall,7,0,0,0.000,0.000,7,0,0,0.000,0.000
,amenity = post_office,1119,829,831,0.741,0.743,29,4,4,0.138,0.138
,amenity = post_box,1775,1732,1733,0.976,0.976,10,2,2,0.200,0.200
,amenity = police,52,0,0,0.000,0.000,37,0,0,0.000,0.000
,amenity = prison,5,0,0,0.000,0.000,4,0,0,0.000,0.000
,amenity = courthouse,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,amenity = customs,3,0,0,0.000,0.000,2,0,0,0.000,0.000
,amenity = mortuary,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,amenity = library,65,2,1,0.031,0.015,49,2,1,0.041,0.020
,amenity = theatre,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,amenity = cinema,12,0,0,0.000,0.000,7,0,0,0.000,0.000
,amenity = community_centre,42,0,0,0.000,0.000,35,0,0,0.000,0.000
,amenity = social_facility,21,0,0,0.000,0.000,20,0,0,0.000,0.000
,amenity = public_building,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,amenity = public_bath,8,0,0,0.000,0.000,8,0,0,0.000,0.000
,amenity = vehicle_inspection,56,0,0,0.000,0.000,49,0,0,0.000,0.000
,office = government,94,4,3,0.043,0.032,83,4,3,0.048,0.036
,office = diplomatic,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,office = newspaper,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,office = research,32,0,0,0.000,0.000,15,0,0,0.000,0.000
,office = forestry,47,19,42,0.404,0.894,20,10,14,0.500,0.700
,office = energy_supplier,14,0,0,0.000,0.000,7,0,0,0.000,0.000
,office = utility,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,office = foundation,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,office = notary,5,1,1,0.200,0.200,4,1,1,0.250,0.250
,building = public,34,0,0,0.000,0.000,32,0,0,0.000,0.000
,landuse = military,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,government = *,65,2,2,0.031,0.031,58,2,2,0.034,0.034
,military = *,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,embassy = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,diplomatic = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,bank,3999,91,156,0.023,0.039,172,15,19,0.087,0.110
,amenity = atm,2784,85,149,0.031,0.054,128,14,18,0.109,0.141
,amenity = bank,991,6,7,0.006,0.007,82,4,5,0.049,0.061
,amenity = bureau_de_change,224,0,0,0.000,0.000,34,0,0,0.000,0.000
#,tourism,1037,10,14,0.010,0.014,752,9,11,0.012,0.015
,building = bunker,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = ruins,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = fountain,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,tourism = *,1015,10,14,0.010,0.014,733,9,11,0.012,0.015
,historic = *,19,0,0,0.000,0.000,17,0,0,0.000,0.000
,memorial = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,ruins = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,information = *,285,0,0,0.000,0.000,116,0,0,0.000,0.000
,attraction = *,7,0,0,0.000,0.000,6,0,0,0.000,0.000
,artwork_type = *,6,1,1,0.167,0.167,5,1,1,0.200,0.200
#,sport,286,1,2,0.003,0.007,231,1,2,0.004,0.009
,amenity = sanatorium,19,0,0,0.000,0.000,18,0,0,0.000,0.000
,leisure = *,273,1,2,0.004,0.007,220,1,2,0.005,0.009
,sport = *,79,0,0,0.000,0.000,64,0,0,0.000,0.000
,resort = *,43,1,1,0.023,0.023,38,1,1,0.026,0.026
#,office,825,4,4,0.005,0.005,351,4,4,0.011,0.011
,office = *,825,4,4,0.005,0.005,351,4,4,0.011,0.011
#,amenity,13030,118,179,0.009,0.014,4708,24,31,0.005,0.007
,amenity = cafe,394,1,3,0.003,0.008,294,1,3,0.003,0.010
,amenity = fast_food,350,1,1,0.003,0.003,190,1,1,0.005,0.005
,amenity = restaurant,61,0,1,0.000,0.016,57,0,1,0.000,0.018
,amenity = bar,37,0,0,0.000,0.000,33,0,0,0.000,0.000
,shop = convenience,3191,6,18,0.002,0.006,830,4,6,0.005,0.007
,shop = clothes,403,0,0,0.000,0.000,159,0,0,0.000,0.000
,shop = car_repair,258,1,2,0.004,0.008,244,1,2,0.004,0.008
,shop = hairdresser,154,0,0,0.000,0.000,138,0,0,0.000,0.000
,shop = chemist,515,0,0,0.000,0.000,40,0,0,0.000,0.000
,shop = supermarket,576,1,1,0.002,0.002,115,1,1,0.009,0.009
,shop = car_parts,329,0,0,0.000,0.000,161,0,0,0.000,0.000
,shop = furniture,105,0,0,0.000,0.000,88,0,0,0.000,0.000
,shop = hardware,83,0,0,0.000,0.000,79,0,0,0.000,0.000
,shop = kiosk,129,14,15,0.109,0.116,47,4,4,0.085,0.085
,shop = doityourself,118,0,0,0.000,0.000,110,0,0,0.000,0.000
,shop = pet,305,0,0,0.000,0.000,66,0,0,0.000,0.000
,shop = florist,111,1,1,0.009,0.009,62,1,1,0.016,0.016
,shop = beauty,80,1,1,0.013,0.013,75,1,1,0.013,0.013
,shop = mobile_phone,311,0,0,0.000,0.000,42,0,0,0.000,0.000
,shop = shoes,108,0,0,0.000,0.000,30,0,0,0.000,0.000
,shop = newsagent,105,11,8,0.105,0.076,18,2,1,0.111,0.056
,shop = electronics,96,0,0,0.000,0.000,46,0,0,0.000,0.000
,shop = alcohol,122,0,0,0.000,0.000,65,0,0,0.000,0.000
,shop = jewelry,274,0,0,0.000,0.000,25,0,0,0.000,0.000
,shop = mall,82,0,0,0.000,0.000,47,0,0,0.000,0.000
,shop = butcher,125,1,1,0.008,0.008,90,1,1,0.011,0.011
,shop = cosmetics,29,0,0,0.000,0.000,27,0,0,0.000,0.000
,craft = shoemaker,29,0,0,0.000,0.000,25,0,0,0.000,0.000
,amenity = *,2239,20,110,0.009,0.049,813,6,9,0.007,0.011
,shop = *,2357,61,18,0.026,0.008,1224,6,6,0.005,0.005
,clothes = *,182,0,0,0.000,0.000,64,0,0,0.000,0.000
,club = *,14,0,0,0.000,0.000,14,0,0,0.000,0.000
#,building,3584,274,303,0.076,0.085,1944,38,44,0.020,0.023
,building = yes,2067,208,222,0.101,0.107,1225,18,22,0.015,0.018
,building = retail,802,8,13,0.010,0.016,374,3,6,0.008,0.016
,building = commercial,60,5,6,0.083,0.100,45,1,2,0.022,0.044
,building = office,67,21,30,0.313,0.448,36,5,6,0.139,0.167
,building = house,29,6,6,0.207,0.207,22,1,1,0.045,0.045
,building = apartments,239,1,1,0.004,0.004,215,1,1,0.005,0.005
,building = residential,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,building = construction,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,building = kiosk,76,1,1,0.013,0.013,24,1,1,0.042,0.042
,building = *,172,22,22,0.128,0.128,126,16,16,0.127,0.127
,building:part = *,50,1,1,0.020,0.020,38,1,1,0.026,0.026
,entrance = *,15,1,1,0.067,0.067,14,1,1,0.071,0.071
#,other,167,0,0,0.000,0.000,54,0,0,0.000,0.000
#,TOTAL,53384,4919,5128,0.092,0.096,8869,121,134,0.014,0.015
